0,13,13,11,13,13,11,0,0,0,10,0,0,0,12,0,0,0,0,0,13,0,0,0,12,13,0,0,0,0,15,0,0,0,0,0,0,0,15,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,0,0,0,0,10,0,0,0,0,0,12,0,0,13,0,11,0,0,0
13,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,13,0,14,15,0,0,14,11,0,0,0,12,0,0,0,0,0,0,0,0,0
11,0,0,0,11,13,0,12,0,0,0,0,0,0,0,0,13,0,0,0,11,14,15,0,0,11,15,10,14,0,0,0,0,0,0,11,0,0,0,0
13,0,0,11,0,0,0,0,10,13,0,0,11,0,0,0,13,0,10,0,11,0,0,0,0,0,0,0,0,13,0,0,0,0,14,0,0,13,0,0
13,0,0,13,0,0,0,10,15,10,0,0,0,0,11,0,0,13,0,0,15,11,0,0,11,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,14,12,15,10,10,0,11,0,0,12,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,12,0,10,14,0,0,0,0,0,0,14,0,0,12,0,0,0,12,0,0,0,0,0,0,14,0,0,12,0,0,10,13,0,0,0,0,0
0,0,0,0,10,15,12,0,0,0,0,0,0,0,0,13,14,0,0,10,13,0,11,0,0,0,0,11,0,0,0,0,12,0,0,13,0,0,14,0
0,0,0,0,13,10,15,0,0,0,14,0,0,11,0,14,0,0,0,0,0,12,0,0,0,0,15,0,0,13,0,0,11,0,12,0,0,0,0,14
10,0,0,0,0,0,10,0,0,14,0,10,0,10,0,11,0,0,0,0,0,0,0,0,0,0,11,0,15,0,0,0,0,0,0,13,10,0,0,0
0,0,14,0,0,0,10,0,0,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,14,0,0,0,0,14,0,0
0,0,0,0,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,10,13,0,0,0,15,0
0,0,0,0,0,0,11,14,0,11,10,0,0,0,13,13,13,15,12,0,11,0,0,0,11,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,11,0,0,0,0,0,0,0,13,0,0,12,0,0,12,0,0,0,10,0,12,0,14,0,15,10,11,0,0,12,14,10,15,0,14
0,0,0,0,0,0,0,0,13,14,11,0,0,13,0,0,0,0,0,10,0,0,0,0,0,0,15,0,12,0,0,0,15,0,0,11,0,0,15,0
0,0,0,13,13,0,12,12,14,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,10,0,0,15,13,0,0,10,0,0,0,15,0,0
0,0,0,0,0,13,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,14,15,11,13,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0
0,0,0,0,10,0,10,0,0,0,0,0,0,12,0,0,0,0,0,0,15,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,11,0
0,15,13,0,0,0,0,0,10,0,0,0,0,0,12,10,0,0,0,0,0,15,0,0,12,0,13,0,0,0,12,15,15,0,0,0,0,10,0,0
13,12,0,11,11,15,0,12,13,0,0,0,0,11,0,0,0,0,15,0,0,13,0,15,14,0,0,12,14,0,12,11,0,0,0,0,0,0,11,0
0,0,14,14,0,11,0,0,0,12,0,0,0,0,0,0,0,14,0,15,13,0,11,13,0,13,11,0,0,0,0,0,10,0,0,0,0,0,0,0
0,0,15,15,0,0,0,0,11,0,0,0,0,0,0,0,0,15,0,0,0,11,0,0,0,0,0,0,0,10,13,0,13,0,0,0,15,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,11,0,0,15,13,0,0,13,15,0,13,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0,0,13,0,12,14,0,0,13,0,0,0,0,0,11,0,0,15,0,0,10,0,11,0,10
13,10,14,11,0,0,0,0,0,0,0,15,0,0,12,0,0,0,0,0,0,13,0,15,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
0,0,11,15,0,0,0,0,0,15,11,0,0,0,0,15,10,0,0,13,0,11,0,0,0,0,0,0,0,0,12,10,14,13,15,0,0,0,10,0
0,0,0,10,0,0,0,14,11,0,0,0,0,10,14,0,0,0,12,0,12,0,0,13,0,0,0,0,12,0,0,0,0,0,0,0,11,0,11,0
0,0,0,14,0,0,0,0,0,0,15,0,0,0,0,12,0,0,0,0,14,0,0,0,0,0,0,12,0,0,0,0,0,13,0,0,13,0,0,0
