0,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,11,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,0,0,11
11,13,0,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,0,14,0,0,9,10,7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,11,0,0,14,0,0,10,0,0,11,0,9,0,0,0,0,0
0,0,0,0,9,14,0,12,0,13,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10,0,12,0,0,9,14,14,0,0,0,0,0,0,0,0
0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,12,12,0
0,0,0,0,0,10,13,9,0,0,12,0,0,0,0,0,0,0,0,0
0,0,12,0,0,0,0,14,0,12,0,0,0,16,0,14,0,0,0,0
0,0,11,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,12,12
0,0,0,0,0,11,0,0,0,0,0,0,0,7,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,16,0,7,0,0,10,0,0,0,0
0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,7,13,13
0,0,0,0,0,0,0,0,0,0,14,0,0,10,0,0,11,11,0,0
0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11,0,12,0,0
0,0,0,0,0,0,0,0,12,0,0,0,0,0,7,11,12,0,0,0
0,0,0,0,0,0,0,0,12,0,0,12,0,0,13,0,0,0,0,9
0,0,11,0,0,0,0,0,0,0,0,12,0,0,13,0,0,0,9,0
